Customer ID,Name,Age,Gender,Education Level,Email,Height (cm),Blood Type,Country,City,SKU,Product Name,Model,Price,IP Address
CUST-73965,Emily Fernandez,83,Male,Bachelor's,emily.fernandez@hotmail.com,200,AB-,Russian Federation,Barnesborough,ELE-QLNZ-626,Close Smart Device,TechPro Give,272.9,220.101.73.7
CUST-27351,Cynthia Cohen,80,Female,Master's,cynthia.cohen@gmail.com,159,O+,Guinea,Valerieport,ELE-ZHKO-869,Add Smart Device,TechPro Best,715.87,138.176.108.148
CUST-72754,Christopher Saunders,23,Male,High School,christopher.saunders@yahoo.com,166,AB-,Macao,Jenkinsport,HOM-SMIZ-807,Only Decor Item,Aura Since,1377.27,79.51.45.7
CUST-61087,Joel Wells,31,Male,Bachelor's,joel.wells@gmail.com,174,O+,Saint Pierre and Miquelon,West Christophershire,APP-CTUA-419,Her Cotton Garment,Thread Tree,1160.16,159.12.211.106
CUST-41509,Ms. Haley Adkins,55,Non-Binary,Master's,ms..haley.adkins@yahoo.com,188,B-,French Southern Territories,East Jasonview,HOM-CEAG-842,Politics Decor Item,Aura Receive,673.04,146.177.247.29
CUST-83372,Amy Stevens,67,Male,PhD,amy.stevens@yahoo.com,171,AB+,Italy,Brendanfurt,APP-MKBK-782,Compare Cotton Garment,Thread Serious,1094.33,164.176.44.9
CUST-19207,Pamela Hicks,78,Non-Binary,Bachelor's,pamela.hicks@gmail.com,173,AB+,Peru,South Brandon,APP-MMQJ-903,Explain Cotton Garment,Thread Table,470.38,171.228.177.45
CUST-71154,Christopher Holmes,20,Non-Binary,Master's,christopher.holmes@hotmail.com,176,A-,Senegal,Rebeccabury,APP-VJAB-423,Each Cotton Garment,Thread Break,1343.55,21.121.111.244
CUST-14020,Cindy Pace,69,Non-Binary,PhD,cindy.pace@yahoo.com,199,AB+,Guinea-Bissau,Robertshaven,ELE-ZRUN-985,Sometimes Smart Device,TechPro Glass,1298.19,19.207.226.2
CUST-80204,Lindsey Thomas,84,Non-Binary,PhD,lindsey.thomas@hotmail.com,157,O-,Antigua and Barbuda,Wagnerfort,APP-AMZH-869,Another Cotton Garment,Thread Career,1349.94,59.180.24.16
CUST-66910,Michael Reilly,70,Female,PhD,michael.reilly@hotmail.com,178,A+,Libyan Arab Jamahiriya,Coreyshire,ELE-SSUQ-529,Rule Smart Device,TechPro Age,904.5,126.76.156.18
CUST-75633,Jessica Walker,32,Non-Binary,Master's,jessica.walker@hotmail.com,179,B-,Georgia,North Kaitlyn,HOM-FYXP-665,Not Decor Item,Aura Enough,999.77,57.46.13.148
CUST-78112,Paul Blair,79,Female,High School,paul.blair@yahoo.com,180,O+,Bangladesh,East Tracybury,HOM-AQQP-889,Cold Decor Item,Aura Place,1302.07,48.223.137.183
CUST-28348,Scott Brown,29,Female,Bachelor's,scott.brown@hotmail.com,200,O-,Madagascar,East Denise,HOM-VJFR-419,Discussion Decor Item,Aura Believe,820.41,93.0.1.86
CUST-58318,Jeremy Fisher MD,22,Female,Bachelor's,jeremy.fisher.md@gmail.com,187,A+,Saint Barthelemy,Port Brittney,ELE-HPNG-704,Join Smart Device,TechPro Crime,1090.14,170.160.118.228
CUST-82253,Kathryn Woods,84,Non-Binary,PhD,kathryn.woods@hotmail.com,170,O+,Tajikistan,Singhbury,APP-SSFU-399,Firm Cotton Garment,Thread Here,843.43,161.202.253.43
CUST-64117,Angela Mitchell,31,Male,Bachelor's,angela.mitchell@gmail.com,172,A-,Palau,Devinside,HOM-EKHU-975,Speak Decor Item,Aura Activity,677.9,133.226.5.185
CUST-99896,Tracey Wright,66,Male,PhD,tracey.wright@gmail.com,157,B-,French Polynesia,Lloydshire,APP-CHWS-237,Training Cotton Garment,Thread Body,675.18,104.241.169.185
CUST-57711,Joseph Solis,54,Female,High School,joseph.solis@yahoo.com,159,B+,Samoa,North Beckyville,ELE-MZJT-853,Possible Smart Device,TechPro Program,981.53,125.178.43.197
CUST-53232,Regina Franco,77,Male,Master's,regina.franco@gmail.com,165,A-,Cambodia,Edwardmouth,HOM-WLJT-698,Property Decor Item,Aura Might,1160.41,28.34.130.53
CUST-68921,Julie Barton,47,Non-Binary,Master's,julie.barton@gmail.com,195,B+,Lithuania,New Brandy,ELE-RJDO-583,Dinner Smart Device,TechPro Race,916.66,44.52.145.222
CUST-11714,Gary Larson,71,Non-Binary,PhD,gary.larson@gmail.com,194,A-,Afghanistan,East Barbaraville,APP-ZYTV-453,One Cotton Garment,Thread The,233.33,160.173.178.83
CUST-33791,Julia Banks,76,Female,High School,julia.banks@yahoo.com,188,AB-,French Southern Territories,Glennfort,APP-ENPD-483,Movement Cotton Garment,Thread Their,588.73,111.166.53.97
CUST-53436,Lori Curtis,49,Male,Bachelor's,lori.curtis@hotmail.com,180,AB-,Netherlands,Wolfborough,APP-HBEM-643,Expect Cotton Garment,Thread Billion,141.8,122.68.75.186
CUST-27511,Kristy Jones,60,Male,PhD,kristy.jones@yahoo.com,196,B+,Belgium,Caitlinburgh,APP-EZZX-133,Part Cotton Garment,Thread Term,1232.27,142.166.131.194
CUST-20701,Christopher Ellis,56,Male,Bachelor's,christopher.ellis@yahoo.com,151,O+,Pitcairn Islands,New Anthony,ELE-PLSP-953,Stage Smart Device,TechPro Officer,253.41,159.223.102.253
CUST-24690,Jay Wiggins,71,Non-Binary,PhD,jay.wiggins@gmail.com,153,A+,Central African Republic,East Rachelchester,APP-HQGQ-430,Week Cotton Garment,Thread Such,641.24,195.166.158.197
CUST-41697,Mrs. Judith Murray,59,Male,High School,mrs..judith.murray@yahoo.com,153,A-,Mali,South Oliviaville,HOM-SAZZ-154,Team Decor Item,Aura Draw,204.27,128.72.176.163
CUST-75546,Maria Parker,57,Female,High School,maria.parker@hotmail.com,200,A-,Albania,Lake Dana,HOM-GTTV-687,Name Decor Item,Aura Forget,443.51,190.237.201.119
CUST-72677,Stacy Chavez,57,Non-Binary,High School,stacy.chavez@yahoo.com,199,O+,Chad,Rodriguezberg,HOM-DSRD-973,Customer Decor Item,Aura Task,572.21,71.25.242.211
CUST-23464,Maria Smith,42,Female,Master's,maria.smith@gmail.com,181,A+,Philippines,Bowenburgh,APP-TGJI-560,Leg Cotton Garment,Thread Material,118.81,188.107.74.157
CUST-20918,Theresa Barker MD,59,Non-Binary,PhD,theresa.barker.md@gmail.com,191,A+,Madagascar,Bartonland,ELE-VHSU-166,He Smart Device,TechPro Travel,379.6,113.94.74.47
CUST-61825,Jeffrey Hammond,64,Male,High School,jeffrey.hammond@hotmail.com,179,B-,Panama,Careyland,APP-NUGR-338,Hospital Cotton Garment,Thread Their,1418.75,146.220.59.79
CUST-94374,Robert Hanson,38,Female,PhD,robert.hanson@hotmail.com,158,AB+,Mauritania,New Daniel,ELE-HUHM-136,Nature Smart Device,TechPro Save,374.15,89.141.26.29
CUST-94555,Timothy Page,52,Female,PhD,timothy.page@hotmail.com,195,AB-,Jamaica,New Ethanfurt,APP-SULP-802,Especially Cotton Garment,Thread One,946.52,79.126.32.73
CUST-81108,Nicole Kennedy,56,Non-Binary,PhD,nicole.kennedy@gmail.com,188,O+,Fiji,Matthewburgh,ELE-PIAB-813,Partner Smart Device,TechPro Sea,702.18,217.179.54.51
CUST-79206,Dean Sweeney,57,Non-Binary,PhD,dean.sweeney@hotmail.com,181,A-,Yemen,Lake Michele,ELE-BLHT-710,Baby Smart Device,TechPro Buy,1027.14,203.29.75.45
CUST-79052,Jesse Thompson,77,Male,Bachelor's,jesse.thompson@gmail.com,197,AB-,Kuwait,Bauermouth,APP-PYRL-323,Certain Cotton Garment,Thread Build,286.79,38.185.248.100
CUST-66707,Courtney Torres,35,Male,High School,courtney.torres@gmail.com,197,A+,Greenland,Jenniferhaven,APP-EXQC-340,These Cotton Garment,Thread Look,418.46,56.132.109.166
CUST-62734,Harry Bond,42,Non-Binary,PhD,harry.bond@gmail.com,171,O-,Mali,South Tara,HOM-BJBP-596,Job Decor Item,Aura Goal,1140.68,140.116.112.54
